id,citation_counts
1605.08225,23
1605.08277,1
1605.08337,18
1605.08355,61
1605.08387,3
1605.08425,3
1605.08431,34
1605.08433,18
1605.08449,2
1605.08498,6
1605.08504,0
1605.08524,3
1605.08588,16
1605.08666,14
1605.08684,12
1605.08697,41
1605.08758,25
1605.08854,28
1605.08868,33
1605.08957,8
1605.09072,14
1605.09110,6
1605.09111,6
1605.09129,4
1605.09154,6
1605.09155,1
1605.09156,9
1605.09158,0
1605.09175,5
1605.09247,24
1605.09254,20
1605.09285,21
1605.09289,17
1605.09339,3
1605.09354,1
1605.09369,10
1605.09396,28
1605.09482,47
1605.09510,2
1605.09618,4
1605.09622,0
1605.09629,2
1605.09677,84
1605.09728,22
1605.09731,67
1605.09747,12
1606.00179,14
1606.00320,14
1606.00336,10
1606.00365,40
1606.00377,23
1606.00394,51
1606.00423,24
1606.00508,56
1606.00513,81
1606.00618,40
1606.00621,38
1606.00642,8
1606.00646,19
1606.00654,5
1606.00670,49
1606.00674,2
1606.00684,26
1606.00688,2
1606.00693,3
1606.00708,1
1606.00743,15
1606.00769,38
1606.00791,8
1606.00792,8
1606.00810,47
1606.00830,22
1606.00838,3
1606.00849,41
1606.00902,34
1606.00940,22
1606.01000,16
1606.01022,4
1606.01041,34
1606.01119,41
1606.01142,11
1606.01189,4
1606.01226,37
1606.01254,109
1606.01267,16
1606.01282,8
1606.01339,2
1606.01369,4
1606.01408,10
1606.01409,11
1606.01490,0
1606.01598,21
1606.01653,18
1606.01712,25
1606.01732,1
1606.01770,10
1606.01772,12
1606.01787,0
1606.01790,15
1606.01829,43
1606.01857,663
1606.01886,47
1606.01893,258
1606.01894,31
1606.01901,8
1606.01902,15
1606.01912,103
1606.01920,6
1606.01938,5
1606.01988,4
1606.01989,317
1606.02068,4
1606.02082,5
1606.02203,25
1606.02217,14
1606.02268,2
1606.02271,8
1606.02273,26
1606.02295,53
1606.02297,8
1606.02384,24
1606.02414,1
1606.02420,4
1606.02425,4
1606.02475,13
1606.02522,6
1606.02535,2
1606.02537,6
1606.02554,3
1606.02565,18
1606.02571,4
1606.02606,17
1606.02659,40
1606.02677,14
1606.02693,6
1606.02724,29
1606.02728,24
1606.02733,36
1606.02745,7
1606.02771,41
1606.02817,12
1606.02824,0
1606.02869,20
1606.02910,2
1606.02921,33
1606.02922,5
1606.02945,51
1606.02946,29
1606.02947,53
1606.02949,20
1606.02950,28
1606.02951,32
1606.03016,44
1606.03036,17
1606.03068,7
1606.03085,35
1606.03095,5
1606.03103,15
1606.03104,10
1606.03206,28
1606.03223,42
1606.03226,27
1606.03307,119
1606.03312,13
1606.03341,1
1606.03438,402
1606.03455,13
1606.03457,12
1606.03481,23
1606.03487,4
1606.03605,4
1606.03640,25
1606.03785,2
1606.03823,8
1606.03861,4
1606.03979,5
1606.03995,20
1606.04032,12
1606.04104,16
1606.04108,71
1606.04109,66
1606.04123,51
1606.04152,3
1606.04187,11
1606.04259,2
1606.04328,3
1606.04353,19
1606.04410,8
1606.04448,15
1606.04537,45
1606.04546,6
1606.04633,7
1606.04668,1
1606.04692,9
1606.04713,15
1606.04724,76
1606.04744,54
1606.04767,9
1606.04879,12
1606.04926,9
1606.04945,2
1606.04948,13
1606.04949,14
1606.04958,30
1606.05141,0
1606.05160,6
1606.05221,18
1606.05230,8
1606.05239,14
1606.05260,27
1606.05274,6
1606.05297,32
1606.05324,4
1606.05366,3
1606.05444,24
1606.05466,5
1606.05625,0
1606.05632,105
1606.05636,75
1606.05653,13
1606.05831,98
1606.05846,65
1606.05860,1
1606.05870,3
1606.05921,15
1606.05959,29
1606.05997,4
1606.06015,26
1606.06141,5
1606.06178,8
1606.06194,23
1606.06212,17
1606.06260,42
1606.06296,10
1606.06306,23
1606.06313,24
1606.06341,12
1606.06348,14
1606.06405,3
1606.06407,18
1606.06515,16
1606.06601,27
1606.06609,10
1606.06610,1
1606.06632,10
1606.06643,30
1606.06687,127
1606.06747,19
1606.06884,16
1606.06919,3
1606.06954,12
1606.07051,5
1606.07058,15
1606.07067,4
1606.07070,11
1606.07076,18
1606.07078,6
1606.07083,31
1606.07084,41
1606.07148,16
1606.07169,18
1606.07186,14
1606.07194,13
1606.07252,9
1606.07328,26
1606.07330,33
1606.07340,5
1606.07361,2
1606.07376,6
1606.07406,8
1606.07416,4
1606.07420,22
1606.07444,26
1606.07458,35
1606.07532,8
1606.07570,5
1606.07593,0
1606.07628,3
1606.07640,11
1606.07730,7
1606.07866,36
1606.07870,16
1606.07879,1
1606.07880,0
1606.07905,32
1606.08012,24
1606.08020,48
1606.08081,3
1606.08171,0
1606.08185,15
1606.08205,11
1606.08224,9
1606.08241,3
1606.08284,5
1606.08384,13
1606.08411,11
1606.08429,66
1606.08437,148
1606.08438,120
1606.08443,19
1606.08444,113
